language_name,language_code,dir
Sicilian,scn-IT,ltr
Silesian,szl-PL,ltr
Sindhi,sd-PK,rtl
Sinhala,si-LK,ltr
Sinte Romani (Netherlands),rmo-NL,ltr
Skolt Sami,sms-FI,ltr
Slovak,sk-SK,ltr
Slovenian,sl-SI,ltr
Soga,xog-UG,ltr
Somali,so-SO,ltr
Soninke (Mali),snk-ML,ltr
Sotho Southern,st-LS,ltr
South Azerbaijani,azb-AZ,rtl
Southern Kurdish,sdh-IR,rtl
Southern Ndebele,nr-ZA,ltr
Southern Pashto,pbt-PK,rtl
Southern Sami,sma-SE,ltr
Southwestern Dinka,dik-SS,ltr
Spanish (Argentina),es-AR,ltr
Spanish (Colombia),es-CO,ltr
Spanish (Dominican Republic),es-DO,ltr
Spanish (Honduras),es-HN,ltr
Spanish (Latin America),es-419,ltr
Spanish (Mexico),es-MX,ltr
Spanish (Panama),es-PA,ltr
Spanish (Perù),es-PE,ltr
Spanish (Puerto Rico),es-PR,ltr
Spanish (Spain),es-ES,ltr
Spanish (USA),es-US,ltr
Spanish (Uruguay),es-UY,ltr
Spanish (Venezuela),es-VE,ltr
Sranan Tongo,srn-SR,ltr
Standard Latvian,lvs-LV,ltr
Standard Malay,zsm-MY,ltr
Sundanese,su-ID,ltr
Susu (Guinea),sus-GN,ltr
Swahili,sw-KE,ltr
Swampy Cree,csw-CA,ltr
Swati,ss-SZ,ltr
Swedish,sv-SE,ltr
Swiss German,gsw-CH,ltr
Syriac,syr-SY,rtl
Syriac (Aramaic),syc-TR,rtl
Tachelhit,shi-MA,ltr
Tagalog,tl-PH,ltr
Tahitian,ty-PF,ltr
Tajik,tg-TJ,ltr
Tamashek (Tuareg),tmh-DZ,rtl
Tamasheq,taq-ML,ltr
Tamil (India),ta-IN,ltr
Tamil (Sri Lanka),ta-LK,ltr
Taroko,trv-TW,ltr
Tatar,tt-RU,ltr
Telugu,te-IN,ltr
Teso,teo-UG,ltr
Tetum,tet-TL,ltr
Thai,th-TH,ltr
Tibetan,bo-CN,ltr
Tigre,tig-ER,ltr
Tigrinya,ti-ET,ltr
Tiv,tiv-NG,ltr
Tok Pisin,tpi-PG,ltr
Tokelauan,tkl-TK,ltr
Tongan,to-TO,ltr
Tosk Albanian,als-AL,ltr
Tsonga,ts-ZA,ltr
Tswa,tsc-MZ,ltr
Tswana (Botswana),tn-BW,ltr
Tswana (South Africa),tn-ZA,ltr
Tumbuka,tum-MW,ltr
Turkish,tr-TR,ltr
Turkmen,tk-TM,ltr
Tuvaluan,tvl-TV,ltr
Twi,tw-GH,ltr
Tyap,kcg-NG,ltr
Udmurt,udm-RU,ltr
Ukrainian,uk-UA,ltr
Uma,ppk-ID,ltr
Umbundu,umb-AO,ltr
Upper Sorbian,hsb-DE,ltr
Urdu (Latin script),ur-Latn-PK,ltr
Urdu (Perso-arabic script),ur-PK,rtl
Uyghur,ug-CN,rtl
Uzbek,uz-UZ,ltr
Venda,ve-ZA,ltr
Venetian,vec-IT,ltr
Vietnamese,vi-VN,ltr
Vincentian Creole English,svc-VC,ltr
Virgin Islands Creole English,vic-US,ltr
Volapük,vo-001,ltr
Vunjo,vun-TZ,ltr
Wallisian,wls-WF,ltr
Walloon,wa-BE,ltr
Walser,wae-CH,ltr
Wandala,mfi-CM,ltr
Waray,war-PH,ltr
Welsh,cy-GB,ltr
West Central Oromo,gaz-ET,ltr
West Flemish,vls-BE,ltr
Western Frisian,fy-NL,ltr
Wolof,wo-SN,ltr
Xhosa,xh-ZA,ltr
Yakut,sah-RU,ltr
Yiddish,yi-YD,rtl
Yoruba,yo-NG,ltr
Zulu,zu-ZA,ltr
